StoreKey,GeographyKey,StoreManager,StoreType,StoreName,Status,OpenDate,CloseDate,EntityKey,StorePhone,StoreFax,CloseReason,EmployeeCount,SellingAreaSize,LastRemodelDate,ImageUrl,EmployeeKey
20,824,52,Almacén,Almacén en Englewood de Contoso,Activado,2004-09-29,2090-12-31,654,435-555-0113,435-555-0113,Not Yet Closed,33,560,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,52
21,950,66,Almacén,Almacén en Wheat Ridge de Contoso,Activado,2004-11-02,2090-12-31,655,202-555-0151,202-555-0151,Not Yet Closed,47,1125,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,66
22,571,54,Almacén,Almacén en Westminster de Contoso,Activado,2004-12-03,2090-12-31,656,925-555-0114,925-555-0114,Not Yet Closed,22,500,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,54
23,836,55,Almacén,Almacén en Grand Junction de Contoso,Activado,2004-01-24,2090-12-31,657,913-555-0196,913-555-0196,Not Yet Closed,17,460,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,55
24,887,56,Almacén,Almacén en New Castle de Contoso,Activado,2004-02-15,2090-12-31,658,413-555-0136,413-555-0136,Not Yet Closed,25,700,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,56
25,839,57,Almacén,Almacén nº 1 en Greeley de Contoso,Activado,2004-03-16,2090-12-31,659,332-555-0150,332-555-0150,Not Yet Closed,25,700,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,57
26,867,58,Almacén,Almacén en Loveland de Contoso,Activado,2004-04-17,2090-12-31,660,166-555-0162,166-555-0162,Not Yet Closed,26,680,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,58
27,859,59,Almacén,Almacén en Lafayette de Contoso,Activado,2004-05-18,2090-12-31,661,113-555-0173,113-555-0173,Not Yet Closed,19,455,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,59
28,809,60,Almacén,Almacén en Castle Rock de Contoso,Activado,2004-06-19,2090-12-31,662,115-555-0179,115-555-0179,Not Yet Closed,33,560,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,60
29,927,61,Almacén,Almacén en Sedalia de Contoso,Desactivado,2004-07-20,2009-07-12,663,147-555-0160,147-555-0160,Relocation,47,1125,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,61
30,829,62,Almacén,Contoso Fort Collins almacén,Activado,2004-08-21,2090-12-31,664,656-555-0119,656-555-0119,Not Yet Closed,22,500,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,62
31,839,57,Almacén,Almacén nº 2 en Greeley de Contoso,Activado,2004-09-22,2090-12-31,665,138-555-0128,138-555-0128,Not Yet Closed,17,462,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,57
32,877,63,Almacén,Almacén en Milliken de Contoso,Activado,2004-10-23,2090-12-31,666,523-555-0175,523-555-0175,Not Yet Closed,25,700,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,63
33,799,64,Almacén,Almacén en Berthoud de Contoso,Activado,2004-11-24,2090-12-31,667,668-555-0130,668-555-0130,Not Yet Closed,26,680,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,64
34,818,65,Almacén,Almacén nº 1 en Denver de Contoso,Activado,2004-12-02,2090-12-31,668,609-555-0179,609-555-0179,Not Yet Closed,26,680,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,65
35,818,65,Almacén,Almacén nº 2 en Denver de Contoso,Activado,2004-10-03,2090-12-31,669,952-555-0178,952-555-0178,Not Yet Closed,19,455,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,65
36,818,65,Almacén,Almacén nº 3 en Denver de Contoso,Activado,2003-06-27,2090-12-31,670,943-555-0196,943-555-0196,Not Yet Closed,33,560,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,65
37,803,66,Almacén,Almacén en Boulder de Contoso,Activado,2003-03-28,2090-12-31,671,937-555-0137,937-555-0137,Not Yet Closed,47,1125,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,66
38,940,67,Almacén,Almacén en Thornton de Contoso,Activado,2003-04-29,2090-12-31,672,333-555-0173,333-555-0173,Not Yet Closed,22,500,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,67
39,865,68,Almacén,Almacén en Littleton de Contoso,Activado,2003-05-30,2090-12-31,673,963-555-0134,963-555-0134,Not Yet Closed,17,462,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,68
40,790,69,Almacén,Almacén en Aurora de Contoso,Activado,2003-06-11,2090-12-31,674,794-555-0159,794-555-0159,Not Yet Closed,25,700,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,69
41,904,70,Almacén,Almacén en Parker de Contoso,Activado,2004-07-02,2090-12-31,675,218-555-0126,218-555-0126,Not Yet Closed,26,680,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,70
42,840,71,Almacén,Almacén en Green Bay de Contoso,Activado,2003-08-03,2090-12-31,676,286-555-0189,286-555-0189,Not Yet Closed,19,455,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,71
43,786,72,Almacén,Almacén en Appleton de Contoso,Activado,2003-09-04,2090-12-31,677,164-555-0164,164-555-0164,Not Yet Closed,33,560,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,72
44,874,73,Almacén,Almacén en Menasha de Contoso,Activado,2003-10-05,2090-12-31,678,685-555-0120,685-555-0120,Not Yet Closed,47,1125,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,73
45,901,74,Almacén,Almacén en Oshkosh de Contoso,Activado,2007-11-06,2090-12-31,679,786-555-0144,786-555-0144,Not Yet Closed,22,500,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,74
46,827,136,Almacén,Almacén en Fond du lac de Contoso,Activado,2007-12-07,2090-12-31,680,992-555-0194,992-555-0194,Not Yet Closed,17,460,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,136
47,878,75,Almacén,Almacén nº 1 en Milwaukee de Contoso,Activado,2004-01-18,2090-12-31,681,818-555-0192,818-555-0192,Not Yet Closed,25,700,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,75
48,878,75,Almacén,Almacén nº 2 en Milwaukee de Contoso,Desactivado,2004-02-09,2009-05-12,682,399-555-0176,399-555-0176,Relocation,25,700,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,75
49,878,75,Almacén,Almacén nº 3 en Milwaukee de Contoso,Activado,2004-04-02,2090-12-31,683,778-555-0141,778-555-0141,Not Yet Closed,26,680,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,75
50,949,76,Almacén,Almacén nº 1 en Waukesha de Contoso,Activado,2004-04-19,2090-12-31,684,299-555-0113,299-555-0113,Not Yet Closed,19,455,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,76
51,918,87,Almacén,Almacén nº 1 en Racine de Contoso,Activado,2004-05-15,2090-12-31,685,846-555-0157,846-555-0157,Not Yet Closed,33,560,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,87
52,806,137,Almacén,Almacén en Burlington de Contoso,Activado,2004-06-17,2090-12-31,686,639-555-0164,639-555-0164,Not Yet Closed,47,1125,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,137
53,821,138,Almacén,Almacén en East Troy de Contoso,Activado,2004-08-18,2090-12-31,687,191-555-0112,191-555-0112,Not Yet Closed,22,500,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,138
54,949,76,Almacén,Almacén nº 2 en Waukesha de Contoso,Activado,2004-08-20,2090-12-31,688,669-555-0150,669-555-0150,Not Yet Closed,17,462,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,76
55,835,77,Almacén,Almacén en Germantown de Contoso,Activado,2004-09-02,2090-12-31,689,712-555-0119,712-555-0119,Not Yet Closed,25,700,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,77
57,913,79,Almacén,Almacén en Port Washington de Contoso,Activado,2004-11-25,2090-12-31,691,910-555-0116,910-555-0116,Not Yet Closed,26,680,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,79
58,928,80,Almacén,Almacén en Sheboygan de Contoso,Activado,2004-12-26,2090-12-31,692,319-555-0139,319-555-0139,Not Yet Closed,19,455,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,80
59,871,81,Almacén,Almacén en Manitowoc de Contoso,Activado,2004-04-27,2090-12-31,693,714-555-0138,714-555-0138,Not Yet Closed,33,560,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,81
60,870,82,Almacén,Almacén en Madison de Contoso,Activado,2004-02-28,2090-12-31,694,499-555-0125,499-555-0125,Not Yet Closed,47,1125,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,82
61,898,83,Almacén,Almacén en Oregón de Contoso,Activado,2004-03-29,2090-12-31,695,932-555-0161,932-555-0161,Not Yet Closed,22,500,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,83
62,934,84,Almacén,Almacén en Stoughton de Contoso,Desactivado,2004-04-30,2009-07-12,696,602-555-0194,602-555-0194,Relocation,17,462,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,84
63,822,85,Almacén,Almacén en Edgerton de Contoso,Activado,2004-05-31,2090-12-31,697,679-555-0113,679-555-0113,Not Yet Closed,25,700,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,85
64,828,86,Almacén,Almacén en Fort Atkinson de Contoso,Activado,2004-06-01,2090-12-31,698,688-555-0192,688-555-0192,Not Yet Closed,26,680,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,86
65,918,87,Almacén,Almacén nº 2 en Racine de Contoso,Activado,2009-07-02,2090-12-31,699,518-555-0199,518-555-0199,Not Yet Closed,19,455,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,87
66,849,88,Almacén,Almacén nº 1 en Houston de Contoso,Activado,2004-08-03,2090-12-31,700,901-555-0125,901-555-0125,Not Yet Closed,33,560,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,88
67,849,88,Almacén,Almacén nº 2 en Houston de Contoso,Activado,2004-03-11,2090-12-31,701,434-555-0133,434-555-0133,Not Yet Closed,47,1125,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,88
68,849,88,Almacén,Almacén nº 3 en Houston de Contoso,Activado,2004-07-02,2090-12-31,702,226-555-0197,226-555-0197,Not Yet Closed,22,500,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,88
69,849,88,Almacén,Almacén nº 4 en Houston de Contoso,Activado,2004-08-03,2090-12-31,703,623-555-0155,623-555-0155,Not Yet Closed,17,460,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,88
70,876,89,Almacén,Almacén en Midland de Contoso,Activado,2003-09-12,2090-12-31,704,611-555-0116,611-555-0116,Not Yet Closed,25,700,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,89
71,924,90,Almacén,Almacén en Russellville de Contoso,Activado,2007-11-05,2090-12-31,705,793-555-0179,793-555-0179,Not Yet Closed,25,700,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,90
72,879,91,Almacén,Almacén en Minden de Contoso,Activado,2004-11-06,2090-12-31,706,612-555-0171,612-555-0171,Not Yet Closed,26,680,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,91
73,929,92,Almacén,Almacén en Shreveport de Contoso,Activado,2004-10-17,2090-12-31,707,522-555-0147,522-555-0147,Not Yet Closed,19,455,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,92
74,872,93,Almacén,Almacén en Marshall de Contoso,Activado,2004-02-18,2090-12-31,708,248-555-0134,248-555-0134,Not Yet Closed,33,560,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,93
75,866,94,Almacén,Almacén en Longview de Contoso,Activado,2004-02-19,2090-12-31,709,309-555-0129,309-555-0129,Not Yet Closed,47,1125,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,94
76,798,95,Almacén,Almacén nº 1 en Beaumont de Contoso,Activado,2004-02-20,2090-12-31,710,896-555-0168,896-555-0168,Not Yet Closed,22,500,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,95
77,897,96,Almacén,Almacén en Orange de Contoso,Activado,2004-02-21,2090-12-31,711,999-555-0155,999-555-0155,Not Yet Closed,17,462,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,96
78,798,95,Almacén,Almacén nº 2 en Beaumont de Contoso,Activado,2004-02-22,2090-12-31,712,808-555-0172,808-555-0172,Not Yet Closed,25,700,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,95
79,579,97,Almacén,Almacén en Baytown de Contoso,Activado,2004-01-17,2090-12-31,713,119-555-0117,119-555-0117,Not Yet Closed,26,680,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,97
80,858,98,Almacén,Almacén en La Porte de Contoso,Activado,2004-02-18,2090-12-31,714,420-555-0173,420-555-0173,Not Yet Closed,26,680,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,98
81,793,99,Almacén,Almacén en Bacliff de Contoso,Activado,2004-03-19,2090-12-31,715,143-555-0173,143-555-0173,Not Yet Closed,19,455,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,99
82,939,100,Almacén,Almacén en Texas City de Contoso,Activado,2004-04-20,2090-12-31,716,815-555-0138,815-555-0138,Not Yet Closed,33,560,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,100
83,906,101,Almacén,Almacén en Pasadena de Contoso,Activado,2004-05-21,2090-12-31,717,314-555-0113,314-555-0113,Not Yet Closed,47,1125,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,101
84,851,102,Almacén,Almacén en Humble de Contoso,Desactivado,2004-06-22,2009-02-12,718,373-555-0137,373-555-0137,Relocation,22,500,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,102
85,933,103,Almacén,Almacén en Spring de Contoso,Activado,2004-07-23,2090-12-31,719,153-555-0186,153-555-0186,Not Yet Closed,17,462,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,103
86,791,104,Almacén,Almacén en Austin de Contoso,Activado,2004-08-24,2090-12-31,720,172-555-0130,172-555-0130,Not Yet Closed,25,700,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,104
87,925,105,Almacén,Almacén en San Antonio de Contoso,Activado,2004-08-25,2090-12-31,721,970-555-0118,970-555-0118,Not Yet Closed,26,680,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,105
88,453,106,Almacén,Almacén en Cedar Park de Contoso,Activado,2004-10-26,2090-12-31,722,577-555-0185,577-555-0185,Not Yet Closed,19,455,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,106
89,923,107,Almacén,Almacén en Round Rock de Contoso,Activado,2004-11-27,2090-12-31,723,373-555-0142,373-555-0142,Not Yet Closed,33,560,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,107
