ProductKey,ProductName,ProductDescription,ProductSubcategoryKey,Manufacturer,BrandName,ClassID,ClassName,StyleID,StyleName,ColorID,ColorName,Weight,WeightUnitMeasureID,UnitOfMeasureID,UnitOfMeasureName,StockTypeID,StockTypeName,UnitCost,UnitPrice,AvailableForSaleDate,Status
23,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Blanco,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Blanco,1,"Contoso, Ltd",Contoso,2,Normal,3,Product0101023,8,Blanco,"2,6",gramos,1,centímetros,2,Medio,"61,62","134,00",2008-03-20,Activad
24,Contoso Reproductor MP5 de 16 GB M1600 Azul,Contoso Reproductor MP5 de 16 GB M1600 Azul,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101024,3,Azul,11,gramos,1,centímetros,2,Medio,"91,93","199,90",2009-03-11,Activad
25,Contoso Reproductor MP5 de 16 GB M1600 Negro,Contoso Reproductor MP5 de 16 GB M1600 Negro,1,"Contoso, Ltd",Contoso,2,Normal,3,Product0101025,2,Negro,"5,9",gramos,1,centímetros,2,Medio,"91,93","199,90",2009-03-11,Activad
26,Contoso Reproductor MP5 de 16 GB M1600 Verde,Contoso Reproductor MP5 de 16 GB M1600 Verde,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101026,14,Verde,"14,1",gramos,1,centímetros,2,Medio,"91,93","199,90",2009-03-11,Activad
27,Contoso Reproductor MP5 de 16 GB M1600 Blanco,Contoso Reproductor MP5 de 16 GB M1600 Blanco,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101027,8,Blanco,8,gramos,1,centímetros,2,Medio,"91,93","199,90",2009-03-11,Activad
28,Contoso Reproductor MP5 de 16 GB M1600 Red,Contoso Reproductor MP5 de 16 GB M1600 Red,1,"Contoso, Ltd",Contoso,2,Normal,3,Product0101028,6,Red,2,gramos,1,centímetros,2,Medio,"91,93","199,90",2009-03-11,Activad
29,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Blanco,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Blanco,1,"Contoso, Ltd",Contoso,2,Normal,3,Product0101029,8,Blanco,"1,2",kilogramos,1,centímetros,2,Medio,"84,49","255,00",2008-06-02,Activad
30,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Red,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Red,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101030,6,Red,"2,1",gramos,1,centímetros,2,Medio,"84,49","255,00",2008-06-02,Activad
31,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Naranja,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Naranja,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101031,9,Naranja,"1,2",kilogramos,1,centímetros,2,Medio,"84,49","255,00",2008-06-02,Activad
32,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Rosa,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Rosa,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101032,10,Rosa,"8,8",gramos,1,centímetros,2,Medio,"84,49","255,00",2008-06-02,Activad
33,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Negro,Contoso Reproductor MP3 de vídeo de 32 GB M3200 Negro,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101033,2,Negro,"10,1",gramos,1,centímetros,2,Medio,"84,49","255,00",2008-06-02,Activad
34,Contoso Reproductor MP3 portátil de 4 GB M450 Negro,Contoso Reproductor MP3 portátil de 4 GB M450 Negro,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101034,2,Negro,"0,55",gramos,1,centímetros,2,Medio,"48,92","95,95",2007-12-28,Activad
35,Contoso Reproductor MP3 portátil de 4 GB M450 Blanco,Contoso Reproductor MP3 portátil de 4 GB M450 Blanco,1,"Contoso, Ltd",Contoso,2,Normal,2,Product0101035,8,Blanco,"2,4",gramos,1,centímetros,2,Medio,"48,92","95,95",2007-12-28,Activad
36,Contoso Reproductor MP3 portátil de 4 GB M450 Amarillo,Contoso Reproductor MP3 portátil de 4 GB M450 Amarillo,1,"Contoso, Ltd",Contoso,2,Normal,3,Product0101036,13,Amarillo,"2,9",kilogramos,1,centímetros,2,Medio,"48,92","95,95",2007-12-28,Activad
37,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Plata,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Plata,1,"Contoso, Ltd",Contoso,3,Deluxe,3,Product0101037,7,Plata,"1,6",gramos,1,centímetros,2,Medio,"99,14","299,23",2006-02-02,Activad
38,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Negro,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Negro,1,"Contoso, Ltd",Contoso,3,Deluxe,3,Product0101038,2,Negro,2,kilogramos,1,centímetros,2,Medio,"99,14","299,23",2006-02-02,Activad
39,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Verde,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Verde,1,"Contoso, Ltd",Contoso,3,Deluxe,1,Product0101039,14,Verde,"6,4",gramos,1,centímetros,2,Medio,"99,14","299,23",2006-02-02,Activad
40,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Azul,Contoso Reproductor MP3 con radio y reloj de 8 GB X850 Azul,1,"Contoso, Ltd",Contoso,3,Deluxe,4,Product0101040,3,Azul,5,gramos,1,centímetros,2,Medio,"99,14","299,23",2006-02-02,Activad
41,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Plata,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Plata,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101041,7,Plata,8,gramos,1,centímetros,2,Medio,"106,69","232,00",2009-04-18,Activad
42,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Blanco,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Blanco,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101042,8,Blanco,12,gramos,1,centímetros,2,Medio,"106,69","232,00",2009-04-18,Activad
43,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Negro,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Negro,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101043,2,Negro,"14,1",gramos,1,centímetros,2,Medio,"106,69","232,00",2009-04-18,Activad
44,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 blue,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 blue,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101044,3,blue,1,kilogramos,1,centímetros,2,Medio,"106,69","232,00",2009-04-18,Activad
45,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Rosa,Contoso Reproductor MP5 de nueva generación de 16 GB M1650 Rosa,1,"Contoso, Ltd",Contoso,2,Normal,4,Product0101045,10,Rosa,5,gramos,1,centímetros,2,Medio,"106,69","232,00",2009-04-18,Activad
46,WWI Lápiz inteligente de pulsos de 1 GB E50 Blanco,WWI Lápiz inteligente de pulsos de 1 GB E50 Blanco,4,Wide World Importers,Wide World Importers,1,Economía,1,Product0104001,8,Blanco,"1,3",gramos,1,centímetros,1,Alto,"76,45","149,95",2006-05-12,Activad
47,WWI Lápiz inteligente de pulsos de 1 GB E50 Negro,WWI Lápiz inteligente de pulsos de 1 GB E50 Negro,4,Wide World Importers,Wide World Importers,1,Economía,5,Product0104002,2,Negro,"2,2",gramos,1,centímetros,1,Alto,"76,45","149,95",2006-05-12,Activad
48,WWI Lápiz inteligente de pulsos de 1 GB E50 Plata,WWI Lápiz inteligente de pulsos de 1 GB E50 Plata,4,Wide World Importers,Wide World Importers,1,Economía,3,Product0104003,7,Plata,30,gramos,2,mm,1,Alto,"76,45","149,95",2006-05-12,Activad
49,WWI Lápiz inteligente de pulsos de 2 GB M100 Blanco,WWI Lápiz inteligente de pulsos de 2 GB M100 Blanco,4,Wide World Importers,Wide World Importers,2,Normal,4,Product0104004,8,Blanco,30,gramos,2,mm,1,Alto,"91,95","199,95",2007-03-02,Activad
50,WWI Lápiz inteligente de pulsos de 2 GB M100 Negro,WWI Lápiz inteligente de pulsos de 2 GB M100 Negro,4,Wide World Importers,Wide World Importers,2,Normal,3,Product0104005,2,Negro,"2,2",gramos,1,centímetros,1,Alto,"91,95","199,95",2007-03-02,Activad
51,WWI Lápiz inteligente de pulsos de 2 GB M100 Azul,WWI Lápiz inteligente de pulsos de 2 GB M100 Azul,4,Wide World Importers,Wide World Importers,2,Normal,1,Product0104006,3,Azul,"1,3",gramos,1,centímetros,1,Alto,"91,95","199,95",2007-03-02,Activad
52,WWI Lápiz inteligente de pulsos de 2 GB M100 Plata,WWI Lápiz inteligente de pulsos de 2 GB M100 Plata,4,Wide World Importers,Wide World Importers,2,Normal,1,Product0104007,7,Plata,"2,2",gramos,1,centímetros,1,Alto,"91,95","199,95",2007-03-02,Activad
53,WWI Lápiz de grabación de vídeo de 4 GB  X200 Negro,WWI Lápiz de grabación de vídeo de 4 GB  X200 Negro,4,Wide World Importers,Wide World Importers,3,Deluxe,3,Product0104008,2,Negro,30,gramos,2,mm,1,Alto,"98,07","296,00",2008-06-07,Activad
54,WWI Lápiz de grabación de vídeo de 4 GB  X200 Red,WWI Lápiz de grabación de vídeo de 4 GB  X200 Red,4,Wide World Importers,Wide World Importers,3,Deluxe,1,Product0104009,6,Red,30,gramos,2,mm,1,Alto,"98,07","296,00",2008-06-07,Activad
55,WWI Lápiz de grabación de vídeo de 4 GB  X200 Rosa,WWI Lápiz de grabación de vídeo de 4 GB  X200 Rosa,4,Wide World Importers,Wide World Importers,3,Deluxe,2,Product0104010,10,Rosa,"2,2",gramos,1,centímetros,1,Alto,"98,07","296,00",2008-06-07,Activad
56,WWI Lápiz de grabación de vídeo de 4 GB  X200 Amarillo,WWI Lápiz de grabación de vídeo de 4 GB  X200 Amarillo,4,Wide World Importers,Wide World Importers,3,Deluxe,1,Product0104011,13,Amarillo,"1,3",gramos,1,centímetros,1,Alto,"98,07","296,00",2008-06-07,Activad
57,WWI Lápiz de grabadora de voz digital de 1 GB E100 Negro,WWI Lápiz de grabadora de voz digital de 1 GB E100 Negro,4,Wide World Importers,Wide World Importers,1,Economía,2,Product0104012,2,Negro,30,gramos,2,mm,1,Alto,"79,53","156,00",2008-01-21,Activad
58,WWI Lápiz de grabadora de voz digital de 1 GB E100 Red,WWI Lápiz de grabadora de voz digital de 1 GB E100 Red,4,Wide World Importers,Wide World Importers,1,Economía,1,Product0104013,6,Red,"1,3",gramos,1,centímetros,1,Alto,"79,53","156,00",2008-01-21,Activad
59,WWI Lápiz de grabadora de voz digital de 1 GB E100 Rosa,WWI Lápiz de grabadora de voz digital de 1 GB E100 Rosa,4,Wide World Importers,Wide World Importers,1,Economía,1,Product0104014,10,Rosa,"2,2",gramos,1,centímetros,1,Alto,"79,53","156,00",2008-01-21,Activad
60,WWI Lápiz de grabadora de voz digital de 1 GB E100 Blanco,WWI Lápiz de grabadora de voz digital de 1 GB E100 Blanco,4,Wide World Importers,Wide World Importers,1,Economía,1,Product0104015,8,Blanco,30,gramos,2,mm,1,Alto,"79,53","156,00",2008-01-21,Activad
61,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Negro,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Negro,4,Wide World Importers,Wide World Importers,2,Normal,1,Product0104016,2,Negro,30,gramos,2,mm,1,Alto,"83,24","181,00",2009-02-11,Activad
62,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Blanco,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Blanco,4,Wide World Importers,Wide World Importers,2,Normal,1,Product0104017,8,Blanco,"2,2",gramos,1,centímetros,1,Alto,"83,24","181,00",2009-02-11,Activad
63,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Azul,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Azul,4,Wide World Importers,Wide World Importers,2,Normal,1,Product0104018,3,Azul,"1,3",gramos,1,centímetros,1,Alto,"83,24","181,00",2009-02-11,Activad
64,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Plata,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Plata,4,Wide World Importers,Wide World Importers,2,Normal,1,Product0104019,7,Plata,"2,2",gramos,1,centímetros,1,Alto,"83,24","181,00",2009-02-11,Activad
65,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Púrpura,WWI Lápiz de grabadora de vídeo espía de 2 GB M300 Púrpura,4,Wide World Importers,Wide World Importers,2,Normal,5,Product0104020,5,Púrpura,30,gramos,2,mm,1,Alto,"83,24","181,00",2009-02-11,Activad
66,NT Auricular estéreo Bluetooth E52 Azul,NT Auricular estéreo Bluetooth E52 Azul,6,Northwind Traders,Northwind Traders,1,Economía,1,Product0106001,3,Azul,"1,1",gramos,1,centímetros,2,Medio,"13,10","25,69",2005-04-01,Activad
67,NT Auricular estéreo Bluetooth E52 Negro,NT Auricular estéreo Bluetooth E52 Negro,6,Northwind Traders,Northwind Traders,1,Economía,1,Product0106002,2,Negro,"6,6",gramos,1,centímetros,2,Medio,"13,10","25,69",2005-04-01,Activad
68,NT Auricular estéreo Bluetooth E52 Amarillo,NT Auricular estéreo Bluetooth E52 Amarillo,6,Northwind Traders,Northwind Traders,1,Economía,1,Product0106003,13,Amarillo,"1,6",gramos,1,centímetros,2,Medio,"13,10","25,69",2005-04-01,Activad
69,NT Auricular estéreo Bluetooth E52 Rosa,NT Auricular estéreo Bluetooth E52 Rosa,6,Northwind Traders,Northwind Traders,1,Economía,3,Product0106004,10,Rosa,"6,6",gramos,1,centímetros,2,Medio,"13,10","25,69",2005-04-01,Activad
70,NT Auriculares estéreo Bluetooth inalámbricos E102 Plata,NT Auriculares estéreo Bluetooth inalámbricos E102 Plata,6,Northwind Traders,Northwind Traders,1,Economía,2,Product0106005,7,Plata,"9,6",gramos,1,centímetros,2,Medio,"22,05","47,95",2007-02-12,Activad
71,NT Auriculares estéreo Bluetooth inalámbricos E102 Negro,NT Auriculares estéreo Bluetooth inalámbricos E102 Negro,6,Northwind Traders,Northwind Traders,1,Economía,3,Product0106006,2,Negro,"2,1",kilogramos,1,centímetros,2,Medio,"22,05","47,95",2007-02-12,Activad
72,NT Auriculares estéreo Bluetooth inalámbricos E102 Azul,NT Auriculares estéreo Bluetooth inalámbricos E102 Azul,6,Northwind Traders,Northwind Traders,1,Economía,5,Product0106007,3,Azul,"2,1",kilogramos,1,centímetros,2,Medio,"22,05","47,95",2007-02-12,Activad
73,NT Auriculares estéreo Bluetooth inalámbricos E102 Blanco,NT Auriculares estéreo Bluetooth inalámbricos E102 Blanco,6,Northwind Traders,Northwind Traders,1,Economía,2,Product0106008,8,Blanco,"1,2",kilogramos,1,centímetros,2,Medio,"22,05","47,95",2007-02-12,Activad
74,NT Auriculares activos Bluetooth E202 Negro,NT Auriculares activos Bluetooth E202 Negro,6,Northwind Traders,Northwind Traders,1,Economía,3,Product0106009,2,Negro,"1,5",kilogramos,1,centímetros,2,Medio,"17,45","37,95",2008-04-05,Activad
75,NT Auriculares activos Bluetooth E202 Blanco,NT Auriculares activos Bluetooth E202 Blanco,6,Northwind Traders,Northwind Traders,1,Economía,1,Product0106010,8,Blanco,"11,4",gramos,1,centímetros,2,Medio,"17,45","37,95",2007-05-14,Activad
76,NT Auriculares activos Bluetooth E202 Red,NT Auriculares activos Bluetooth E202 Red,6,Northwind Traders,Northwind Traders,1,Economía,3,Product0106011,6,Red,1,kilogramos,1,centímetros,2,Medio,"17,45","37,95",2007-05-14,Activad
77,NT Auriculares activos Bluetooth E202 Plata,NT Auriculares activos Bluetooth E202 Plata,6,Northwind Traders,Northwind Traders,1,Economía,2,Product0106012,7,Plata,29,gramos,1,centímetros,2,Medio,"17,45","37,95",2007-05-14,Activad
78,NT Auriculares estéreo Bluetooth inalámbricos E302 Plata,NT Auriculares estéreo Bluetooth inalámbricos E302 Plata,6,Northwind Traders,Northwind Traders,1,Economía,1,Product0106013,7,Plata,"1,5",kilogramos,1,centímetros,2,Medio,"18,65","40,55",2007-07-19,Activad
79,NT Auriculares estéreo Bluetooth inalámbricos E302 Blanco,NT Auriculares estéreo Bluetooth inalámbricos E302 Blanco,6,Northwind Traders,Northwind Traders,1,Economía,1,Product0106014,8,Blanco,1,kilogramos,1,centímetros,2,Medio,"18,65","40,55",2007-07-19,Activad
80,NT Auriculares estéreo Bluetooth inalámbricos E302 Amarillo,NT Auriculares estéreo Bluetooth inalámbricos E302 Amarillo,6,Northwind Traders,Northwind Traders,1,Economía,1,Product0106015,13,Amarillo,"9,6",gramos,1,centímetros,2,Medio,"18,65","40,55",2007-07-19,Activad
81,NT Auriculares estéreo Bluetooth inalámbricos E302 Negro,NT Auriculares estéreo Bluetooth inalámbricos E302 Negro,6,Northwind Traders,Northwind Traders,1,Economía,1,Product0106016,2,Negro,29,gramos,1,centímetros,2,Medio,"18,65","40,55",2007-07-19,Activad
82,NT Auriculares estéreo Bluetooth inalámbricos E302 Rosa,NT Auriculares estéreo Bluetooth inalámbricos E302 Rosa,6,Northwind Traders,Northwind Traders,1,Economía,1,Product0106017,10,Rosa,1,kilogramos,1,centímetros,2,Medio,"18,65","40,55",2007-07-19,Activad
83,NT Auriculares estéreo Bluetooth inalámbricos M402 Plata,NT Auriculares estéreo Bluetooth inalámbricos M402 Plata,6,Northwind Traders,Northwind Traders,2,Normal,1,Product0106018,7,Plata,3,kilogramos,1,centímetros,2,Medio,"45,98","99,99",2008-06-05,Activad
84,NT Auriculares estéreo Bluetooth inalámbricos M402 Red,NT Auriculares estéreo Bluetooth inalámbricos M402 Red,6,Northwind Traders,Northwind Traders,2,Normal,1,Product0106019,6,Red,"1,2",kilogramos,1,centímetros,2,Medio,"45,98","99,99",2008-06-05,Activad
85,NT Auriculares estéreo Bluetooth inalámbricos M402 Verde,NT Auriculares estéreo Bluetooth inalámbricos M402 Verde,6,Northwind Traders,Northwind Traders,2,Normal,5,Product0106020,14,Verde,3,kilogramos,1,centímetros,2,Medio,"45,98","99,99",2008-06-05,Activad
86,NT Auriculares estéreo Bluetooth inalámbricos M402 Negro,NT Auriculares estéreo Bluetooth inalámbricos M402 Negro,6,Northwind Traders,Northwind Traders,2,Normal,5,Product0106021,2,Negro,3,kilogramos,1,centímetros,2,Medio,"45,98","99,99",2008-06-05,Activad
87,NT Auriculares estéreo Bluetooth inalámbricos M402 Púrpura,NT Auriculares estéreo Bluetooth inalámbricos M402 Púrpura,6,Northwind Traders,Northwind Traders,2,Normal,1,Product0106022,5,Púrpura,"1,3",gramos,1,centímetros,2,Medio,"45,98","99,99",2008-06-05,Activad
88,NT Transmisor inalámbrico y auriculares Bluetooth M150 Negro,NT Transmisor inalámbrico y auriculares Bluetooth M150 Negro,6,Northwind Traders,Northwind Traders,2,Normal,1,Product0106023,2,Negro,"10,4",gramos,1,centímetros,2,Medio,"49,69","149,99",2008-08-17,Activad
89,NT Transmisor inalámbrico y auriculares Bluetooth M150 Azul,NT Transmisor inalámbrico y auriculares Bluetooth M150 Azul,6,Northwind Traders,Northwind Traders,2,Normal,1,Product0106024,3,Azul,"5,6",gramos,1,centímetros,2,Medio,"49,69","149,99",2008-08-17,Activad
90,NT Transmisor inalámbrico y auriculares Bluetooth M150 Plata,NT Transmisor inalámbrico y auriculares Bluetooth M150 Plata,6,Northwind Traders,Northwind Traders,2,Normal,1,Product0106025,7,Plata,1,kilogramos,1,centímetros,2,Medio,"49,69","149,99",2008-08-17,Activad
91,NT Transmisor inalámbrico y auriculares Bluetooth M150 Verde,NT Transmisor inalámbrico y auriculares Bluetooth M150 Verde,6,Northwind Traders,Northwind Traders,2,Normal,2,Product0106026,14,Verde,8,gramos,1,centímetros,2,Medio,"49,69","149,99",2008-08-17,Activad
92,NT Transmisor inalámbrico y auriculares Bluetooth M150 Red,NT Transmisor inalámbrico y auriculares Bluetooth M150 Red,6,Northwind Traders,Northwind Traders,2,Normal,3,Product0106027,6,Red,2,kilogramos,1,centímetros,2,Medio,"49,69","149,99",2008-08-17,Activad
93,WWI Auriculares estéreo Bluetooth  E1000 Azul,WWI Auriculares estéreo Bluetooth  E1000 Azul,6,Wide World Importers,Wide World Importers,1,Economía,1,Product0106028,3,Azul,"8,2",gramos,1,centímetros,2,Medio,"34,36","67,40",2007-03-03,Activad
94,WWI Auriculares estéreo Bluetooth  E1000 Negro,WWI Auriculares estéreo Bluetooth  E1000 Negro,6,Wide World Importers,Wide World Importers,1,Economía,5,Product0106029,2,Negro,5,gramos,1,centímetros,2,Medio,"34,36","67,40",2007-03-03,Activad
95,WWI Auriculares estéreo Bluetooth  E1000 Plata,WWI Auriculares estéreo Bluetooth  E1000 Plata,6,Wide World Importers,Wide World Importers,1,Economía,1,Product0106030,7,Plata,"6,4",gramos,1,centímetros,2,Medio,"34,36","67,40",2007-03-03,Activad
96,WWI Auriculares estéreo Bluetooth  E1000 Blanco,WWI Auriculares estéreo Bluetooth  E1000 Blanco,6,Wide World Importers,Wide World Importers,1,Economía,1,Product0106031,8,Blanco,"0,17",kilogramos,1,centímetros,2,Medio,"34,36","67,40",2007-03-03,Activad
